title,subject
Goodnight Moon,"Children's fiction,Picture books,Bedtime, fiction,Rabbits, fiction,Literature and fiction, juvenile,Rabbits,Stories in rhyme,Juvenile fiction,Moon in fiction,Board books,Hora de acostarse,Fiction,Bedtime in fiction,Rabbits in fiction,Ficción juvenil,Sleep,Bedtime,Night,Libros de láminas,Picture books for children,Spanish language materials,Specimens,Bilingual,Hmong language materials,Conejos,Bedtime & Dreams,Words,Concepts,Classics,Moon, fiction,Night, fiction,Counting books,Children's literature, history and criticism,Authorship, juvenile literature,Authorship,Large type books,Toy and movable books,Short stories,Boys,Comic books, strips,Teacher-student relationships,Dreams, fiction,Novela juvenil,Libros para contar,Animals,Materiales en español,Bilingües,Sleep, fiction"
Guess How Much I Love You,"Fiction,Juvenile fiction,Love,Fathers and sons,Bedtime,Hares,Ficción juvenil,Padre e hijo,Hora de acostarse,Amor,Specimens,Conejos,Amour,Ouvrages pour la jeunesse,Vietnamese language materials,Bilingual,Board books,Children's picture book,Pictorial works,Animals,Rabbits,Children's picture books,Children's stories, English,Translations into German,Drama,Juvenile films,Parent and child,Spring,Children's fiction,Fathers and sons, fiction,Bedtime, fiction,Love, fiction,Rabbits, fiction,Colors,Emotions, fiction,Picture books,Toy and movable books,Parent and infant,Romance fiction,Romance-language fiction,Blind,Books and reading,Love stories,Adventure and adventurers, fiction,Russian language,Russian language materials,Children's books,Eltern,Kind,Liebe,Feldhase,Children's Books/Ages 4-8 Fiction,Social Issues - Emotions & Feelings,Children: Preschool,Animals - Rabbits,Family - General,Juvenile Fiction / Classics,Classics,Humorous Stories,Children's Books/Baby-Preschool,Children: Kindergarten,Bedtime & Dreams,Family - Parents,Children's Baby - Boardbooks,Juvenile Fiction / Bedtime & Dreams,Preschool Picture Story Books,Juvenile Fiction / Social Situations / Emotions & Feelings,Translations into Irish,American fiction,Social Situations - Emotions & Feelings,Children's Audio - 4-8,Toys, Dolls, & Puppets,Audio - Children's,France, fiction,Orphans, fiction,Spies, fiction,Rider, alex (fictitious character), fiction,Child and youth fiction,Non-classifiable,Animals, fiction,Picture books for children"
The tale of Jemima Puddle-Duck,"Fiction,Juvenile fiction,Domestic animals,Rabbits,Ducks,Foxes,Dogs,Toy and movable books,Dogs in fiction,Spanish language materials,French language materials,Ducks in fiction,Specimens,Domestic animals in fiction,Animals,Foxes in fiction,Children's stories, English,Ficción juvenil,Patos,Animals in fiction,Animal stories,Lexile,Behavior,Accelerated reader,Children's fiction,Behavior, fiction,Pictorial works,Jemima Puddle-Duck (Fictitious character),Readers (Elementary),Readers (Primary),Sound effects books,Geese,Novela juvenil,Gansos,Animales dome sticos,Festivals, fiction,Ducks, fiction,Domestic animals, fiction,Farm life, fiction,Picture books for children,Picture books,French language, textbooks for children,French language, readers,Foxes, fiction,Dogs, fiction"
Where the Wild Things Are,"Caldecott Medal,Dreams,Fantasy,Fantasy fiction,Fiction,Imagination,Juvenile fiction,Miniature books,Monsters,Specimens,Fantasty,Monstruos,Fantasía,Spanish language materials,Novela,open_syllabus_project,Kings and rulers,Conduct of life,Fairy tales,Children,Animals,Temper tantrums,Ficción juvenil,Accelerated Reader 2.9.,Caldecott Medal books,Children's fiction,Monsters, fiction,Picture books,Novela juvenil,Action & Adventure,Classics,People & Places,Hispanic & Latino,Spanish language,Reading materials,French Juvenile fiction,Juvenile fiction, French,Children's stories,German language materials,collectionID:caldecott60,Behavior,Latin language materials,Dreams, fiction,Monstres,Ouvrages illustrés,Littérature de jeunesse anglaise,Caldecott medal,Open_syllabus_project,Accelerated reader 2.9.,Caldecott medal books,award:Caldecott_award,lexile:740,lexile_range:701-800,lexile_code:AD,age:min:1,age:max:5"
Tale of Peter Rabbit,"Rabbits, fiction,Children's fiction,Senses and sensation, fiction,Adventure and adventurers, fiction,Pictorial works,Juvenile fiction,Rabbits,Children's stories, English,Peter rabbit (fictitious character), fiction,Toy and movable books,Fiction,Specimens,Miniature books,Italian language materials,Peter Rabbit (Fictitious character),Animals,Sound effects books,Juvenile literature,Readers,Spanish language materials,Short stories,Ficción juvenil,Children's stories,French language materials,Welsh language,Conejos,Picture books for children,Brothers and sisters,Gardens,Obedience,Gardens, fiction,Farmers,Board books,Picture books,Pop-up books,JUVENILE FICTION / Animals / Rabbits,JUVENILE FICTION / Classics,JUVENILE FICTION / Nature & the Natural World / Environment,Peter Rabbit (Fictional character),Literature and fiction, juvenile,Accelerated reader,Children's stories, Japanese,Translations from English,Rabbits -- Fiction.,Children's stories, Japanese -- Translations from English.,Children's stories, English.,French language,Français (Langue),Animals, fiction,Peter Rabbit (Fictitious character) -- Pictorial works -- Juvenile fiction,Benjamin Bunny (Fictitious character) -- Pictorial works -- Juvenile fiction,Benjamin Bunny (Fictitious character),Rabbits -- Pictorial works -- Juvenile fiction"
'Twas the Night before Christmas,"Children's poetry,Santa claus, poetry,Christmas, poetry,Juvenile poetry,Children's poetry, American,Christmas poetry,Santa Claus,Poetry,Christmas,Narrative poetry,American poetry,Children's fiction,Christmas, fiction,Toy and movable books,Board books,Pictorial works,Juvenile fiction,St. Nicholas (Imaginary person),Animals, fiction,Picture books,Navidad,Spanish language materials,Poesía infantil estadounidense,Poesía juvenil,Poesía narrativa,Literatura juvenil"
The Tale of Benjamin Bunny,"Rabbits, fiction,Children's fiction,Rabbits,Fiction,Juvenile fiction,Children's literature, Welsh,Toy and movable books,Children's stories, English,Spanish language, readers,Picture books,Peter rabbit (fictitious character), fiction,Animals, fiction"
The Cat in the Hat,"Nonsense verses,Children's stories,American,Readers,Juvenile fiction,Spanish literature,Poetry,Children's literature,Spanish,Latin language materials,Fiction,French language materials,Latin language,Cats,Spanish language,Bilingual,Stories in rhyme,Folklore,Fantasy,Ficción juvenil,Gatos,Pictorial works,Children's fiction,Cats, fiction,Cat in the hat (fictitious character), fiction,Juvenile Wit and humor,Children's stories, American,Fantasy fiction,Cat in the Hat (Fictitious character),Humorous stories,Large type books,Student activities,Creative activities and seat work,Brothers and sisters,Chats,Romans, nouvelles, etc. pour la jeunesse,Histoires rim?es,Juvenile literature,Hats, fiction,French language, readers,Picture books,Children's stories, american,Cats--poetry,Cats--fiction"
The House at Pooh Corner,"fiction,children's stories,toys,stuffed animals,teddy bears,bears,mules,donkeys,friendship,Juguetes,Toy and movable books,Translations into Polish,Juvenile fiction,Children's stories, English,Ficción juvenil,Specimens,Winnie-the-Pooh (Fictitious character),Children's fiction,Tigger (Fictitious character),Winnie-the-Poor (Fictitious character),Bears, fiction,Juvenile literature,Toys, fiction,Winnie-the-pooh (fictitious character), fiction,Animals,Animals, fiction,Picture books for children,Picture books,Fairy tales,Teddy bears, fiction"
The Gruffalo,"Animals,Juvenile fiction,Fiction,Stories in rhyme,Mice,Children’s Picture Books,Children: Kindergarten,Children's fiction,Mice, fiction,Monsters, fiction,Animals, fiction,juvenile literature,Pictorial works,Child and youth fiction,Picture books,Gruffalo (Fictitious character),Tricksters,Monsters,Animales-,Cuentos-,Libros infantiles,Lengua inglesa-,Libros infantiles y juveniles,Lecturas-,Ingelesa-,Haur eta gazteentzako liburuak,Irakurgaiak-"
Tale of Mr. Jeremy Fisher,"Frogs,Juvenile fiction,Fiction,Frogs in fiction,Children's stories, English,Ficción juvenil,Fishing,Ranas,Fishers,Fishing stories,Pictorial works,Children's stories,Children's fiction,Frogs, fiction,Fishing, fiction,Fishes, fiction,Toy and movable books,Minnows,Trout,Literature and fiction, juvenile,Coloring books,Creative activities and seat work,Animals, fiction,Farm life, fiction,French language, textbooks for children,French language,Weasels, fiction,Cats, fiction,Picture books"
"Brown Bear, Brown Bear, What Do You See?","Fiction,Children's Books/Baby-Preschool,Animals,Color,Juvenile fiction,Stories in rhyme,Colors,Ficción juvenil,Vietnamese language materials,Spanish language materials,Japanese language,Colores,Bilingual,Animales,Rhyme,Storytelling,Bears,Children's fiction,Color, fiction,Animals, fiction,Bilingual books, spanish-english,Bears, fiction,Senses and sensation, fiction,Color -- Fiction,Animals -- Fiction,picture books,board books,Animals, habits and behavior, fiction,Chinese language materials,Pictorial works,Materiales bilingües en español,Toy and movable books,Juvenile literature,Panjabi language materials,Color, juvenile literature,Animals, pictorial works,Animals, juvenile literature,Indians of north america, medicine,Board books,Color -- Juvenile fiction,Animals -- Juvenile fiction,Spanish language materials -- Bilingual,Color -- Ficción juvenil,Animales -- Ficción juvenil"
Hey Duggee,"Children's fiction,Picture books"
The Tailor of Gloucester,"Cats,Children's stories, English,Christmas,Christmas stories,Ficción juvenil,Fiction,Juvenile fiction,Mice,Ratones,Tailors,Children's fiction,Rabbits, fiction,Tailors, fiction,Literature and fiction, juvenile,Picture books,Schneider,Hausmaus,Puss in Boots (Tale),Pictorial works,Mice, fiction,French language,Christmas, fiction,Great britain, fiction,Fairy tales,Animals, fiction"
The Tale of Two Bad Mice,"Fiction,Mice,Dollhouses,Juvenile fiction,Children's fiction,Mice, fiction,Casas de muñecas,Ficción juvenil,Ratones,Toy and movable books,Specimens,Behavior,Creative activities and seat work,Coloring books,Picture books for children,Picture books,Dollhouses, fiction"
The Tale of Mrs. Tiggy-Winkle,"Hedgehogs,Fiction,Erizos,Ficción juvenil,Juvenile fiction,Children's fiction,Hedgehogs, fiction,Animals, fiction,Farm life, fiction,Picture books"
Make Way for Ducklings,"Juvenile fiction,Fiction,Picture books for children,Ducks,Braille,Caldecott Medal,Children's stories,Japanese language books,Picture books,ducklings,illustration,kid's books,Caldecott medal book,Big books,Oversize books,Specimens,Blind,Books and reading,Animals,Family,Ducks, Geese,3.1.,Caldecott Medal books,Classics,Accelerated Reader,Children's fiction,Ducks, fiction,Boston (mass.), fiction,Accelerated Reader - 3.1.,Family life,Children's stories, American,Harmonica,Children's audiobooks,Audiobooks,Short stories,Patos,Ficción juvenil,Spanish language materials,Reading materials,City & Town Life,Spanish language,Novela juvenil,Legends, Myths, Fables,collectionID:caldecott40,Literature and fiction, juvenile,Fiction, study and teaching,award:Caldecott_award,lexile:710,lexile_range:701-800,lexile_code:AD,age:min:2,age:max:6,grade:min:Preschool,grade:max:2"
Dear Zoo,"Zoo animals in fiction,Bilingual,Toy and movable books,Pets in fiction,Juvenile fiction,Zoo animals,Board books,Lift-the-flap books,Fiction,Chinese language materials,Pets,Specimens,Juvenile literature,Animals,Children's fiction,Zoo animals, fiction,Pets, fiction,Social conditions,Economic conditions,History,Picture books,JUVENILE FICTION / Animals / Zoos,Pictorial works,Revenge,Terrorism,Urdu language materials,PetsvFiction,Pop-up books,Zoo animals, juvenile literature,Pets, juvenile literature,Zoos, fiction,Dogs, fiction,Animals, infancy, fiction,Zoos -- Juvenile fiction"
The Wizard of Oz. Mit Materialien.,"Fantasy fiction,Children's fiction,Wizards, fiction,Oz (imaginary place), fiction,Juvenile fiction,Pictorial works,Picture books,Fiction, fantasy, general,American fiction (fictional works by one author)"
The Complete Jungle Book,"Fiction,Mowgli (Fictitious character),Jungle animals,Animals,English Adventure stories,Boys,Folklore,Feral children,ANIMALES,Open Library Staff Picks,Children's stories, English,Jungles,Stories,Legends and stories of Animals,Short stories,Juvenile fiction,CUENTOS INGLESES,India,Adventure stories,British and irish fiction (fictional works by one author),Large type books,Children's fiction,Mowgli (fictitious character), fiction,Jungles, fiction,Jungle animals, fiction,Picture books,India, fiction,Animals, fiction,Anecdotes,Mowgli,Mowgli (fictitious character),Mowgli (fictitious character)--fiction,Boys--fiction,Feral children--fiction,Jungle animals--fiction,Jungles--fiction,Adventure stories, english,Pr4854 .j6 2008,823/.8"
The Tale of Tom Kitten,"Cats,Initial teaching alphabet,Fiction,Juvenile fiction,Children's stories, English,Kittens,Ducks,Spanish language materials,Children's fiction,Cats, fiction,Ducks, fiction,Tiger,Picture books,Toy and movable books,Siblings, fiction"
La Petite Sirene (French Well Loved Tales),"Contes danois,Fairy tales,Mermaids,Fiction,Children's stories, Danish,Translations into English,Coloring books,Translations into Russian,Children's audiobooks,Translations into Marathi,Fairytales,Juvenile fiction,Tales,Plays,Children's plays,Children's fiction,Mermaids, fiction,Children's stories, English,Musical books,Sound effects books,Specimens,Picture puzzles,Toy and movable books,Picture books,Hans Christian Anderson (1805-1875),Easy reading,Kids,Children,Children's,Juvenile,Books,Picture Books,Stories,Folklore,Fables,Fantasy,Contes de fées,Literature and fiction, juvenile,Postcards, juvenile literature,Folklore, denmark"
Little Bear,"Mothers and sons,Madres e hijos,Little Bear (Fictitious character : Minarik),Bears,Juvenile literature,Fiction,Osos,Ficción juvenil,Children's stories,Friendship,Juvenile fiction,Children's fiction,Bears, fiction,Mothers and sons, fiction,Little bear (fictitious character : minarik), fiction,Picture books,Reading list,Hockaday,Before kindergarten,UP Elementary,Entering 2nd grade,Spanish language materials,Literature and fiction, juvenile"
Green Eggs and Ham,"1960-1988,Dr. Seuss,Beginner Books,I Can Read It All By Myself,Green Eggs and Ham,Audio-Cassette included,First time readers,English,2-3 years,Pre-school,Children's,Stories,Books,In rhymes,Rhyming,Fiction,Juvenile Fiction,Picture books,Food,Eggs,Ham,Food habits,Open Library Staff Picks,Nonsense verses,Specimens,Children's fiction,Humorous stories,Stories in rhyme,Food, fiction,Large type books,Latin language,Readers,Latin language materials,Food preferences,Children's stories,Juvenile poetry,Vocabulary,Classics,Reader,Beginner,PICTURE LIONS,Jig Story,4,Jigsaw,Puzzles,20,Activities,Chamber music,Eggs, fiction,Puzzles, juvenile literature"
Die schönsten Märchen,"Fairy tales,Fiction,Nightingale,Nightingales,Children's stories, Danish,Translations into Russian,Translations into English,Juvenile fiction,Cuentos de hadas,Ficción juvenil,Juvenile literature,Ruiseñores,Danish literature,Children's literature, Danish,Literature and fiction, juvenile,Nightingale in fiction,Nightingales in fiction,Monasticism and religious orders for women,Vocation (in religious orders, congregations, etc.),Children's fiction,Birds, fiction,Readers,Picture books,Picture books for children,Pictorial works,Kings and rulers,Rossignol philomèle,Ouvrages illustrés,Romans, nouvelles, etc. pour la jeunesse,Nightmares, fiction,Fossils"
Frog and Toad Together,"amistad,animals,best friends,children's fiction,children's short stories in english,children's stories,classics,cookies,courage,dragons,easy books,emotions & feelings,ficción juvenil,fiction,friendship,frogs,frogs & toads,frogs, fiction,gardens,giants,humor & funny stories,juvenile audience,juvenile fiction,juvenile works,kindness,loyalty,newbery honor,sharing & cooperating,ouvrages pour la jeunesse,pictorial works,picture books,primary school,ranas,readers,sapos,sharing,short stories,social themes,Spanish language,toads,Frog and toad (fictitious characters), fiction,Literature and fiction, juvenile,Amitié,Romans, nouvelles, etc. pour la jeunesse,Grenouilles,Crapauds,Frog (Fictitious character : Lobel),Toad (Fictitious character : Lobel),series:Frog_and_Toad"
